[2017-11-09 22:06:34] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'call_user_func_array() expects parameter 1 to be a valid callback, non-static method WP_Feed_Cache::create() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/SimplePie/Registry.php',   'line' => 215, ) [] []
[2017-11-09 22:34:00] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:34:04] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:34:07] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:34:08] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:34:10] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:34:11] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:55:32] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:55:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:55:56] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
[2017-11-09 22:56:08] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Non-static method Imagick::queryformats() should not be called statically',   'file' => '/home/creactiv/public_html/demos/desvan/wp-includes/class-wp-image-editor-imagick.php',   'line' => 119, ) [] []
