[2017-07-13 17:22:02] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1547 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 17:22:06] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1547 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-view.php',   'line' => 32, ) [] []
[2017-07-13 17:22:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1547 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:11:27] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1430 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:11:31] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1430 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-view.php',   'line' => 32, ) [] []
[2017-07-13 18:11:35] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1430 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:11:47] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:11:51] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-view.php',   'line' => 32, ) [] []
[2017-07-13 18:11:55] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:13:02] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:13:06] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-view.php',   'line' => 32, ) [] []
[2017-07-13 18:13:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'unserialize(): Error at offset 0 of 1458 bytes',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\fancy-product-designer\\inc\\class-fancy-product.php',   'line' => 221, ) [] []
[2017-07-13 18:18:44] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: class',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\woocommerce\\includes\\admin\\meta-boxes\\views\\html-product-data-panel.php',   'line' => 35, ) [] []
[2017-07-13 18:21:08] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: class',   'file' => 'C:\\wamp\\www\\desvan\\wp-content\\plugins\\woocommerce\\includes\\admin\\meta-boxes\\views\\html-product-data-panel.php',   'line' => 35, ) [] []
